"X","cell_ID","dataset.suffix","cell_centroid_x","cell_centroid_y","Area","nucleus_centroid_x","nucleus_centroid_y","nucleus_area","z_level","radius"
18352,187219000,1,1701.8916015625,1689.18969726562,29.351563565433,1701.83715820312,1688.96789550781,19.8687507212162,12,3.05661460734409
18353,187224023,1,1784.71032714844,1706.64794921875,58.5225021243095,1783.80883789062,1706.5517578125,29.1257823072374,12,4.31605039247454
18354,187226914,1,1702.3076171875,1702.09008789062,47.2334392145276,1702.19567871094,1701.2236328125,26.4164072088897,15,3.87748251581426
18355,187230223,1,1703.83752441406,1695.29553222656,36.9378138408065,1704.29846191406,1695.67785644531,23.3909383490682,12,3.42894609458142
18356,187240183,1,1756.11145019531,1693.25207519531,39.8729701973498,1756.19360351562,1693.06323242188,24.1134383752942,15,3.56257780340698
18357,187252358,1,1708.208984375,1684.69055175781,31.5642198957503,1708.10314941406,1684.42492675781,20.2751569859684,12,3.16973236133532
18358,187254676,1,1705.75512695312,1688.69311523438,21.0879695154727,1705.70178222656,1688.69177246094,15.5337505638599,12,2.59085105251486
18359,187258872,1,1708.84191894531,1691.97729492188,26.506719712168,1708.61828613281,1691.60510253906,17.5206256359816,12,2.90471185054315
18360,187268861,1,1709.08569335938,1698.94140625,46.3754704333842,1707.45971679688,1698.44836425781,16.4368755966425,12,3.84210498494904
18361,187271858,1,1716.38623046875,1710.22570800781,68.0504712201655,1716.56567382812,1710.59924316406,43.6660953350365,15,4.65415274231994
18362,187286727,1,1709.0361328125,1705.71411132812,65.1604711152613,1708.64587402344,1706.59692382812,26.6421884670854,12,4.55425319282767
18363,187346759,1,1778.35107421875,1703.06921386719,52.4715644046664,1777.97009277344,1703.08569335938,42.3114077858627,15,4.08683467900707
18364,187347522,1,1715.46069335938,1685.04016113281,22.3975008130074,1714.76708984375,1685.17272949219,10.972969148308,12,2.67008350704425
18365,187367903,1,1713.0087890625,1688.85327148438,27.5001572482288,1713.13562011719,1689.08837890625,21.2685945220292,15,2.95864359525105
