"X","cell_ID","dataset.suffix","cell_centroid_x","cell_centroid_y","Area","nucleus_centroid_x","nucleus_centroid_y","nucleus_area","z_level","radius"
15902,160935274,1,2506.19018554688,2542.10717773438,62.0446897521615,2506.71459960938,2543.4482421875,27.6356260031462,15,4.44403399326773
15903,160955942,1,2524.06665039062,2557.06567382812,66.0184398964047,2523.91723632812,2556.96850585938,28.1775010228157,15,4.58413809668252
15904,160959801,1,2524.92944335938,2540.34350585938,43.7112515866756,2525.64794921875,2538.47045898438,8.71515656635165,15,3.73011038945307
15905,160977625,1,2511.92065429688,2546.0517578125,24.8810946531594,2511.42602539062,2546.271484375,12.9146879687905,15,2.814231406117
15906,160984999,1,2513.212890625,2539.240234375,88.5514094643295,2513.07592773438,2540.10717773438,25.7842196859419,15,5.30912319201626
15907,160987750,1,2524.74926757812,2532.12133789062,23.3006258457899,2524.548828125,2532.70336914062,12.1921879425645,15,2.72338384385758
15908,161007502,1,2507.42822265625,2549.63012695312,32.5576574318111,2507.64477539062,2549.71118164062,19.2817194499075,15,3.21922727242589
15909,161015155,1,2518.75903320312,2549.244140625,122.508910696954,2517.38916015625,2550.4111328125,50.3492205776274,15,6.2446615136809
15910,161029057,1,2516.49560546875,2530.68774414062,90.8995345495641,2518.3359375,2530.2216796875,39.1504701711237,15,5.37905386630691
15911,161039606,1,2508.49243164062,2554.31909179688,30.4804698564112,2508.20190429688,2554.43530273438,24.2489071302116,15,3.11484106991396
15912,161046692,1,2527.33129882812,2535.4169921875,26.5518759638071,2526.375,2535.39086914062,13.9532817564905,15,2.90718499858636
15913,161054612,1,2519.7529296875,2536.53955078125,42.4920327924192,2520.01904296875,2535.35327148438,14.5403130277991,15,3.67772132194282
15914,161067902,1,2533.06201171875,2522.72680664062,221.897820554674,2529.31030273438,2528.0078125,18.8301569335163,15,8.40430068507722
15915,161079416,1,2531.75048828125,2544.35961914062,101.917659949511,2532.07275390625,2544.18530273438,25.468125924468,15,5.69573513592822
15916,161092032,1,2533.78784179688,2534.50952148438,56.580783303827,2533.49731445312,2534.97680664062,13.2759379819036,15,4.24384527211242
15917,161094022,1,2532.91943359375,2557.8583984375,53.8262519538403,2533.27514648438,2557.08911132812,29.712813578546,15,4.13925453833501
15918,161096491,1,2533.1357421875,2551.39672851562,100.292034890503,2532.7041015625,2552.52880859375,38.2473451383412,15,5.65012798183693
15919,161103090,1,2542.77270507812,2553.20751953125,51.2975018620491,2543.15869140625,2555.07641601562,14.6306255310774,15,4.04085411506301
15920,161109822,1,2540.65161132812,2542.09545898438,61.3221897259355,2541.1826171875,2540.42944335938,16.617500603199,15,4.41808320793116
15921,161110894,1,2544.71020507812,2528.685546875,260.190321944654,2542.56640625,2536.09985351562,43.5757828317583,18,9.1006127136763
15922,161111691,1,2550.09545898438,2536.54467773438,29.3064073137939,2549.66650390625,2537.63671875,7.76687528192997,15,3.05426246031829
15923,161113350,1,2548.72583007812,2543.20825195312,56.6710958071053,2548.861328125,2542.23583984375,17.5657818876207,15,4.24723086919823
15924,161118932,1,2548.994140625,2549.35424804688,62.4059397652745,2550.296875,2550.09155273438,21.3589070253074,15,4.45695272398946
15925,161126023,1,2549.64428710938,2557.5302734375,92.4348471052945,2548.84008789062,2557.7666015625,56.4453145489097,15,5.42429033713189
15926,161141686,1,2559.12060546875,2530.74975585938,266.647665929049,2555.8994140625,2537.82763671875,21.3589070253074,15,9.21284908120442
15927,161153447,1,2556.02319335938,2547.46484375,41.5889077596366,2556.7431640625,2547.759765625,20.9525007605553,15,3.63842830017002
15928,161170685,1,2557.74462890625,2552.88940429688,15.8046880736947,2558.51538085938,2553.02685546875,8.44421905651689,15,2.24294192120707
15929,161171153,1,2558.6962890625,2557.796875,56.5356270521879,2559.37036132812,2557.5205078125,33.4156262129545,15,4.24215146032189
15930,161182720,1,2561.74975585938,2542.08642578125,74.6884402111173,2560.69262695312,2544.39404296875,33.0995324514806,15,4.87586596440526
15931,161188597,1,2562.88598632812,2551.0908203125,33.235001206398,2562.78686523438,2551.32006835938,20.5460944958031,15,3.25254199839552
15932,161204904,1,2567.83081054688,2540.88452148438,87.4225031733513,2566.07080078125,2545.31005859375,20.6815632507205,15,5.27517270191333
15933,161207622,1,2567.3564453125,2556.71044921875,41.4082827530801,2567.23950195312,2556.552734375,27.9968760162592,15,3.63051866407531
15934,161226652,1,2569.64282226562,2552.19067382812,38.2925013899803,2569.04052734375,2552.24682617188,25.9648446924984,15,3.49125790498744
15935,161239399,1,2572.51000976562,2547.03076171875,51.0265643522143,2572.4091796875,2547.8359375,25.3778134211898,15,4.03016871747365
15936,161244714,1,2576.27026367188,2540.06689453125,121.560629412532,2577.61181640625,2544.79345703125,18.5592194236815,15,6.22044613454155
15937,161247879,1,2576.56176757812,2558.072265625,73.5595339201391,2576.59252929688,2558.19116210938,43.124220315367,15,4.83887661238145
15938,161273806,1,2579.1328125,2551.83984375,45.8335954137146,2578.99536132812,2551.76318359375,20.9073445089161,15,3.81959245725685
15939,161303239,1,2584.12866210938,2548.9658203125,33.4607824645936,2583.58325195312,2549.34643554688,7.13468775898218,15,3.26357133489148
15940,161309739,1,2582.87158203125,2539.00073242188,68.0956274718046,2584.41455078125,2542.03125,5.01234393194318,15,4.65569666432038
15941,161310668,1,2587.4638671875,2555.3837890625,44.0725015997887,2588.67724609375,2555.39672851562,19.2817194499075,15,3.74549235322456
15942,161311863,1,2589.19750976562,2540.43823242188,86.6548468954861,2590.11743164062,2542.25927734375,26.9582822285593,15,5.25196101019191
15943,161322964,1,2593.33276367188,2556.58154296875,28.99031355232,2592.99633789062,2556.61840820312,17.0690631195903,15,3.03774643564459
15944,161325646,1,2591.3095703125,2549.91259765625,57.0323458202183,2591.74096679688,2550.33325195312,28.8096885457635,15,4.26074635560817
15945,161329054,1,2595.20556640625,2532.89868164062,50.8459393456578,2597.04223632812,2536.18408203125,7.94750028848648,15,4.02302935187208
15946,161343785,1,2596.77783203125,2546.96899414062,43.3951578252017,2596.64379882812,2547.85571289062,16.4368755966425,15,3.7165989490753
15947,161357591,1,2594.1572265625,2537.396484375,61.864064745605,2595.93237304688,2538.66967773438,16.7529693581164,15,4.43756052443684
15948,161359133,1,2599.14624023438,2555.84643554688,41.724376514554,2599.37060546875,2555.94897460938,24.2489071302116,15,3.64434926145085
15949,161359150,1,2602.6650390625,2541.56860351562,42.9435953088105,2603.1953125,2541.7861328125,17.8367193974555,15,3.69721123755057
15950,161359391,1,2601.7265625,2530.62866210938,145.041880264878,2603.92431640625,2533.33520507812,40.1890639588237,15,6.79472327611628
15951,161365955,1,2683.765625,2545.16772460938,153.982818089426,2685.22045898438,2543.01196289062,22.6684383228421,18,7.001018018853
15952,161374181,1,2679.91528320312,2536.4931640625,70.6695338152349,2678.92163085938,2535.65258789062,18.378594417125,15,4.74286951806488
